mat_id, formula,Weyl Point?
 mp-1681, La3Sn,N
 mp-1753, Th4As4,N
 mp-2060, LuTl3,N
 mp-2061, ThTl3,N
 mp-2092, CePd3,N
 mp-2103, Au3Cu,N
 mp-2126, HfIr3,N
 mp-22926, Bi4La4,N
 mp-23222, Bi4Li12,N
 mp-23285, Bi4Ce4,N
 mp-2573, Al3Np,N
 mp-2607, UGe3,N
 mp-2637, Y4Se4,N
 mp-2800, USi3,N
 mp-2828, Hf4N4,N
 mp-30858, Pt3Zr,N
 mp-580357, Cu3Pd,N
 mp-753260, Ag3La3O6,N
 mp-863750, AgAu3,N
 mp-867227, Li12Pt4,N
 mp-976256, Li12Mg4,N
 mp-999298, AuPd3,N
 mp-1066078, Bi2Pt2,N
 mp-11247, Au4Li12,N
 mp-11256, AuSc,N
 mp-11473, HgTl,N
 mp-11488, LaTl,N
 mp-11498, MgTl,N
 mp-1183324, Ba4Sr12,N
 mp-1183330, Ba12Sr4,N
 mp-1186024, Cd4Na12,N
 mp-1187206, Ta12W4,N
 mp-126, Pt4,N
 mp-1684, AuZn,N
 mp-19921, Pb2O2,N
 mp-2, Pd4,N
 mp-20311, Fe2Se2,N
 mp-2083, Ir4Sn8,N
 mp-2097, Sn2O2,N
 mp-20971, Pt3Sn,N
 mp-22095, Ga8Pt4,N
 mp-23156, He2,N
 mp-2423, U4S4,N
 mp-2776, Au4Ga8,N
 mp-505531, Fe2S2,N
 mp-526, CaTl3,N
 mp-571102, Tl4I4,N
 mp-934, LiTl,N
 mp-976599, Hg3Li,N
 mp-977189, Bi4Na12,N
 mp-979285, Xe2,N
 mp-982873, Na12Tl4,N
 mp-999318, Bi2Ni2,N
 mp-10173, Li2,N
 mp-10192, Lu4P4,N
 mp-11536, NpRh3,N
 mp-11575, TlY,N
 mp-122, Ba2,N
 mp-127, Na2,N
 mp-1865, U4N4,N
 mp-1885, AlIr,N
 mp-20582, InLa,N
 mp-2143, U4Se4,N
 mp-2205, LuPd,N
 mp-22704, InY,N
 mp-24288, Lu4H8,N
 mp-372, Pt3V,N
 mp-51, Li4,N
 mp-58, K2,N
 mp-604908, Co2Se2,N
 mp-790, LuPt3,N
 mp-974400, Kr2,N
 mp-976254, Li3Mg,N
 mp-983590, Be3Fe,N
 mp-10052, Ti2As2,N
 mp-1008488, Bi2Pd2,N
 mp-1008634, Au2,N
 mp-1008833, Np4N8,N
 mp-1009130, Mn4N4,N
 mp-1009733, Ca8Si4,N
 mp-1009755, Ca8Ge4,N
 mp-101, Ir4,N
 mp-10108, Np4P4,N
 mp-10109, Np4S4,N
 mp-1011695, Cs8Se4,N
 mp-1014219, HfZn,N
 mp-1014230, TiZn,N
 mp-10157, K4,N
 mp-10172, Na2,N
 mp-1017529, Co3V,N
 mp-1018029, CuPd,N
 mp-102, Co4,N
 mp-103, Hf2,N
 mp-1033, BeNi,N
 mp-1039147, CaZn,N
 mp-1039148, Ca2Mg2,N
 mp-10597, Ag2,N
 mp-1061766, CeNiAs,N
 mp-1062676, K8Pt4,N
 mp-1065, La4Sb4,N
 mp-1066274, Pb2Pt2,N
 mp-10679, Ba4,N
 mp-10695, Zn4S4,N
 mp-1073, CaCd,N
 mp-1094603, Li4Mg12,N
 mp-1094889, LiMg,N
 mp-1096, Ce4S4,N
 mp-1104, LaMg,N
 mp-111, Ne4,N
 mp-1114, V2P2,N
 mp-112, Y2,N
 mp-1121, CoGa,N
 mp-11229, AlY,N
 mp-1123, Hg4S4,N
 mp-11237, AgSc,N
 mp-11274, BePd,N
 mp-11276, BeRh,N
 mp-11279, BeTi,N
 mp-11286, CaHg,N
 mp-1129, IrSc,N
 mp-1132, Cd4O4,N
 mp-11388, GaIr,N
 mp-11452, HfOs,N
 mp-11457, HfRh,N
 mp-11460, HfTc,N
 mp-11471, HgSc,N
 mp-11489, Li12Pd4,N
 mp-11496, LuZn,N
 mp-11521, NiSc,N
 mp-11541, OsZr,N
 mp-1156, Ga4Sb4,N
 mp-11566, ScZn,N
 mp-11572, TaTc,N
 mp-11573, TcTi,N
 mp-1161, La4Se4,N
 mp-1169, CuSc,N
 mp-117, Sn8,N
 mp-1172, MgRh,N
 mp-1174, MgSc,N
 mp-1183655, CdPd3,N
 mp-1183995, Cu3Ga,N
 mp-1184703, Hf3Pb,N
 mp-1184755, K2,N
 mp-1185846, Au3Mg,N
 mp-1186985, Ni3Sc,N
 mp-1187151, Ca3Sr,N
 mp-1187197, Os4Ta12,N
 mp-1187203, Re4Ta12,N
 mp-1188008, GaZr3,N
 mp-1190, Zn4Se4,N
 mp-1206636, SrTl3,N
 mp-1206794, AuLi,N
 mp-1206874, Co4H4,N
 mp-1211, CdSc,N
 mp-1216698, TiSSe,N
 mp-124, Ag4,N
 mp-129, Mo2,N
 mp-13031, Mg4Se4,N
 mp-13032, Mg4S4,N
 mp-13033, Mg4Te4,N
 mp-131, Zr2,N
 mp-132, Ca2,N
 mp-134, Al4,N
 mp-1352, Zr4N4,N
 mp-1367, Mg8Si4,N
 mp-1408, HgMg,N
 mp-1479, B4P4,N
 mp-1487, AlNi,N
 mp-1502, Al8Pt4,N
 mp-153, Mg2,N
 mp-1541, Be4Se4,N
 mp-1550, Al4P4,N
 mp-1597, U4O8,N
 mp-1674, Pr4Se4,N
 mp-1751, Th4Sb4,N
 mp-1778, Be4O4,N
 mp-1780, RhSc,N
 mp-1798, Ce4Mg12,N
 mp-191, RhY,N
 mp-1921, ThTe,N
 mp-1948, AgLa,N
 mp-19856, Pt2Sn2,N
 mp-1986, Zn4O4,N
 mp-19962, Pt4Sn8,N
 mp-20012, In4Sb4,N
 mp-20033, Ir2Sn2,N
 mp-2012, HgLi,N
 mp-2018, Al4Fe12,N
 mp-20263, CaIn,N
 mp-2027, CoHf,N
 mp-203, Ni2Te2,N
 mp-20351, In4P4,N
 mp-20411, In4N4,N
 mp-2052, Sc4As4,N
 mp-20724, Mg8Pb4,N
 mp-2082, Ir8P4,N
 mp-2104, U4As4,N
 mp-21075, Hf4C4,N
 mp-21215, InPd,N
 mp-213, CaPd,N
 mp-214, RuZr,N
 mp-215, Y4Sb4,N
 mp-2176, Zn4Te4,N
 mp-2179, ReTi,N
 mp-2182, Sn4As4,N
 mp-2187, Ti2Sb2,N
 mp-2197, BaHg,N
 mp-2212, CoSc,N
 mp-22154, Au4In8,N
 mp-22320, GaRu,N
 mp-22682, In8Pt4,N
 mp-2283, CoZr,N
 mp-229, Rh3Zr,N
 mp-2291, Ni4Si8,N
 mp-22913, Cu4Br4,N
 mp-22914, Cu4Cl4,N
 mp-22925, Ag4I4,N
 mp-2302, Rh8As4,N
 mp-2306, La4Mg12,N
 mp-2323, BeCu,N
 mp-23241, Bi4Y4,N
 mp-2343, Mg8Sn4,N
 mp-2350, La4S4,N
 mp-2364, Pa4O8,N
 mp-2379, Co4Si8,N
 mp-2384, La4P4,N
 mp-2399, HgY,N
 mp-24147, Ac4H8,N
 mp-24153, La4H8,N
 mp-24154, Nb4H8,N
 mp-24208, Cr4H8,N
 mp-24237, Sc4H8,N
 mp-2426, AgLi,N
 mp-24287, Cr4H4,N
 mp-2434, SrTl,N
 mp-2444, GaRh,N
 mp-24650, Y4H8,N
 mp-2469, Cd4S4,N
 mp-24719, Ni4H4,N
 mp-24722, Rh4H4,N
 mp-24723, Ta4H8,N
 mp-24728, V4H8,N
 mp-2474, AgY,N
 mp-2490, Ga4P4,N
 mp-2493, Ce4N4,N
 mp-2516, YZn,N
 mp-252, Be4Te4,N
 mp-2534, Ga4As4,N
 mp-2540, TcV,N
 mp-2564, MgSr,N
 mp-2593, AlNi3,N
 mp-2615, LaZn,N
 mp-2616, Np4O8,N
 mp-2624, Al4Sb4,N
 mp-2644, Co2Sb2,N
 mp-2647, Al8Au4,N
 mp-2658, AlFe,N
 mp-2691, Cd4Se4,N
 mp-2696, AgMg,N
 mp-2730, Hg4Te4,N
 mp-2732, Rh8P4,N
 mp-2743, LiPd,N
 mp-2773, BeCo,N
 mp-2781, PdSc,N
 mp-2795, Zr4C4,N
 mp-28, Ce4,N
 mp-2802, HfRu,N
 mp-2807, Sc4P4,N
 mp-284, AlCo,N
 mp-2861, CaTl,N
 mp-291, OsTi,N
 mp-30, Cu4,N
 mp-30373, AuRb,N
 mp-30468, BiTh,N
 mp-30496, CdSr,N
 mp-305, FeTi,N
 mp-30746, IrY,N
 mp-30867, RuSc,N
 mp-316, MnV,N
 mp-32, Ge8,N
 mp-33, Ru2,N
 mp-331, AlSc,N
 mp-364, AlRh,N
 mp-376, PrSn3,N
 mp-381, RuSi,N
 mp-39, Tl2,N
 mp-408, Mg8Ge4,N
 mp-422, Be4S4,N
 mp-437, AuMg,N
 mp-441, Rb8Te4,N
 mp-45, Ca4,N
 mp-46, Ti2,N
 mp-49, Os2,N
 mp-492, Ti4N4,N
 mp-503, Th4S4,N
 mp-505569, Ce4H8,N
 mp-506, MgPd,N
 mp-527, BaCd,N
 mp-542, HgSr,N
 mp-542569, AlRu,N
 mp-559, Pd3Y,N
 mp-56, Ba2,N
 mp-567365, Kr2,N
 mp-567580, Pa4C4,N
 mp-568565, Cr2As2,N
 mp-569775, Al3Zr,N
 mp-570276, ZnZr,N
 mp-570428, InSc3,N
 mp-570510, Xe2,N
 mp-570632, Bi4Sc4,N
 mp-590, Ni2As2,N
 mp-592, RuTi,N
 mp-608, Co3Ti,N
 mp-611517, Xe4,N
 mp-612118, Kr4,N
 mp-614456, He4,N
 mp-615, MgY,N
 mp-631, Ti4C4,N
 mp-633, LaSn3,N
 mp-635, Rh3Sc,N
 mp-66, C8,N
 mp-67, Sc2,N
 mp-6938, RhZn,N
 mp-7041, Ca3Hg3O6,N
 mp-718, Pd3Sn,N
 mp-734, HgLa,N
 mp-7396, Li12Tl4,N
 mp-74, Rh4,N
 mp-75, Nb2,N
 mp-76, Sr4,N
 mp-7753, MgPd3,N
 mp-776, CdLa,N
 mp-8, Re2,N
 mp-8062, C4Si4,N
 mp-81, Au4,N
 mp-810, Ni2Sb2,N
 mp-815, GaNi3,N
 mp-820, Hg4Se4,N
 mp-823, CoTi,N
 mp-828, Ni3Si,N
 mp-830, Ga4N4,N
 mp-863257, Ga3Li,N
 mp-864984, Mn4V12,N
 mp-865385, Re4V12,N
 mp-865907, Li4Zn12,N
 mp-866121, Os4V12,N
 mp-866199, AcAg,N
 mp-866286, AcMg,N
 mp-866291, Ag4Br4,N
 mp-867342, Li12Ge4,N
 mp-87, Be2,N
 mp-881, NpSn3,N
 mp-892, PtSc,N
 mp-899, InRh,N
 mp-90, Cr2,N
 mp-902, BaZn,N
 mp-91, W2,N
 mp-915, CdY,N
 mp-931, Th4P4,N
 mp-932, Ga3Sc,N
 mp-933, Y4As4,N
 mp-94, Cd2,N
 mp-966, Nb3S6,N
 mp-973342, Rh3Sb,N
 mp-973834, Au3Pd,N
 mp-973865, Al3Pa,N
 mp-973908, Fe3Pa,N
 mp-974370, PtRh3,N
 mp-974421, IrRu,N
 mp-974558, Na4,N
 mp-976023, Ga4Li12,N
 mp-976847, Ni3Sb,N
 mp-977585, TlZr3,N
 mp-978294, Mg3Sn,N
 mp-979423, Ga3Y,N
 mp-982773, Na3Tl,N
 mp-985806, Al8Cu4,N
 mp-994, Y4P4,N
 mp-1009077, Fe4H4,N
 mp-1009545, Pa4N4,N
 mp-1020, Rh3Ta,N
 mp-1057286, Cs4H4,N
 mp-10635, Sn4Sb4,N
 mp-10688, Ce4O4,N
 mp-1093, Th4Ge4,N
 mp-11578, VZn3,N
 mp-1164, Th4C4,N
 mp-1180, MnPt3,N
 mp-1183627, Ag3Cd,N
 mp-1184558, Hf3Sn,N
 mp-1185, Rh3V,N
 mp-1185265, Li12Sn4,N
 mp-1185300, Ag3Li,N
 mp-1185312, Cu3Li,N
 mp-1185427, AlLu3,N
 mp-1185786, Mg3Tl,N
 mp-1186117, NiPt3,N
 mp-1186137, Hg3Na,N
 mp-1186218, Nb12Os4,N
 mp-1187064, InTh3,N
 mp-1187196, Ir4Ta12,N
 mp-1187696, Cr12V4,N
 mp-1187702, V4W12,N
 mp-1476, Sc4S4,N
 mp-1525, Ce4Te4,N
 mp-1534, Y4S4,N
 mp-1560, La4Te4,N
 mp-15694, Pa4As4,N
 mp-1782, Sc4Se4,N
 mp-2154, Ce4P4,N
 mp-2186, Np4As4,N
 mp-2489, U4C4,N
 mp-2495, Pr4S4,N
 mp-2509, Rh3Th,N
 mp-2515, CrPt3,N
 mp-2563, Ce4Se4,N
 mp-2596, Np4N4,N
 mp-2748, Ce4As4,N
 mp-343, Pr4N4,N
 mp-387, Ce4Sb4,N
 mp-414, Lu4Se4,N
 mp-549, Sc4Sb4,N
 mp-627, Np4Se4,N
 mp-6972, Cu3Y3O6,N
 mp-834, Th4N4,N
 mp-863027, In3Li,N
 mp-974395, Pt3Rh,N
 mp-976589, In3Na,N
 mp-10226, Na3Y3S6,N
 mp-1039, Mg2Te2,N
 mp-10778, Pr3Rb3Se6,N
 mp-10779, Nd3Rb3Se6,N
 mp-10780, Rb3Sm3Se6,N
 mp-10782, Rb3Tb3Se6,N
 mp-10783, Ho3Rb3Se6,N
 mp-10784, Er3Rb3Se6,N
 mp-10785, Lu3Rb3Se6,N
 mp-10969, Cd3C3N6,N
 mp-11601, Er3Na3O6,N
 mp-11739, K3La3Te6,N
 mp-11740, K3Nd3Te6,N
 mp-12317, Sr3C3N6,N
 mp-12908, AgScSe2,N
 mp-12953, AgTmTe2,N
 mp-13313, Sc3Tl3Se6,N
 mp-1378, Li4C4,N
 mp-14115, Li3Rh3O6,N
 mp-14116, Cu3Rh3O6,N
 mp-14437, Rb3Y3O6,N
 mp-15724, K4Na8Sb4,N
 mp-15781, K3La3S6,N
 mp-15782, K3Pr3S6,N
 mp-15783, K3Sm3S6,N
 mp-15785, Dy3K3S6,N
 mp-15786, Ho3K3S6,N
 mp-15788, Li3Y3S6,N
 mp-15789, Dy3Li3S6,N
 mp-15790, Ho3Li3S6,N
 mp-15791, Er3Li3S6,N
 mp-15793, Li3Tb3Se6,N
 mp-15794, Li3Y3Se6,N
 mp-15795, Dy3Li3Se6,N
 mp-15796, Ho3Li3Se6,N
 mp-15797, Er3Li3Se6,N
 mp-165, Si4,N
 mp-16763, K3Y3Te6,N
 mp-20289, In3Na3S6,N
 mp-2074, Li12Sb4,N
 mp-22473, In3Na3Se6,N
 mp-22566, In3Tl3S6,N
 mp-22691, In6Se6,N
 mp-22859, Hg4I4,N
 mp-22870, In4Br4,N
 mp-22894, Ag2I2,N
 mp-22897, Hg4Cl4,N
 mp-22917, Cu2Br2,N
 mp-22936, Ca6Cl3N3,N
 mp-23009, Ca6Br3N3,N
 mp-23033, Sr6Cl3N3,N
 mp-23040, Ca6I3P3,N
 mp-23056, Sr6Br3N3,N
 mp-23177, Hg4Br4,N
 mp-23202, In4I4,N
 mp-24199, Li3F6H3,N
 mp-27418, AuKO2,N
 mp-27438, Bi3Tl3Te6,N
 mp-27837, Na3F6H3,N
 mp-27869, Ba6Cl3P3,N
 mp-28554, Ca6As3I3,N
 mp-28688, Hg3Sr3O6,N
 mp-29678, Ag3Bi3S6,N
 mp-29803, H2Si2,N
 mp-30041, Bi3Rb3S6,N
 mp-3056, Na3Tl3O6,N
 mp-31166, Dy3Tl3S6,N
 mp-3613, Er3Na3S6,N
 mp-3664, Nd3Tl3S6,N
 mp-3748, Al3Cu3O6,N
 mp-380, Zn2Se2,N
 mp-3915, Ba3Hg3O6,N
 mp-4123, Er3Tl3S6,N
 mp-4124, Ca3C3N6,N
 mp-4280, Cu3Ga3O6,N
 mp-4326, Er3K3S6,N
 mp-4519, K3Pr3O6,N
 mp-4541, Cu2Na2O4,N
 mp-505158, Cs3Ho3S6,N
 mp-5077, Li8Na4Sb4,N
 mp-5175, In3Na3O6,N
 mp-5273, K3Pr3Te6,N
 mp-554310, Bi3Tl3S6,N
 mp-558071, Rb4S4,N
 mp-559092, Sc3F9,N
 mp-560588, Zn2S2,N
 mp-561586, Cs3La3S6,N
 mp-561619, Cs3Lu3S6,N
 mp-561751, Cs3Er3S6,N
 mp-567290, La2N2,N
 mp-567809, Ag2I2,N
 mp-568062, Dy3Tl3Se6,N
 mp-568273, Li2I2,N
 mp-568588, Nd3Tl3Se6,N
 mp-569178, Ho3Tl3Se6,N
 mp-569346, Cu2I2,N
 mp-5694, Ho3Na3S6,N
 mp-569507, Tb3Tl3Se6,N
 mp-569677, Sr6I3N3,N
 mp-570081, Cu2I2,N
 mp-570117, Er3Tl3Se6,N
 mp-570301, Ag2Br2,N
 mp-5808, Nd3Rb3Te6,N
 mp-581833, RbN3,N
 mp-690794, Sr6H3N3,N
 mp-6978, Ho3Rb3O6,N
 mp-6980, CuScS2,N
 mp-7046, Dy3Rb3S6,N
 mp-706, Hg4F4,N
 mp-7140, C2Si2,N
 mp-7176, La3Rb3Se6,N
 mp-7476, Dy3Rb3O6,N
 mp-7477, Er3Rb3O6,N
 mp-7478, Rb3Tm3O6,N
 mp-7480, Lu3Rb3O6,N
 mp-753098, Cu3Li3F6,N
 mp-753774, K3Tm3O6,N
 mp-753946, CoLiS2,N
 mp-754158, K3Nd3O6,N
 mp-754326, Ag2Na2O4,N
 mp-754825, Na3Tm3O6,N
 mp-754883, Ho3K3O6,N
 mp-755311, Lu3Na3O6,N
 mp-756034, Na3Sm3O6,N
 mp-7895, Rb4O4,N
 mp-7914, Na3Sc3O6,N
 mp-7958, K3La3O6,N
 mp-7959, Er3K3O6,N
 mp-7972, La3Rb3O6,N
 mp-7973, Nd3Rb3O6,N
 mp-7974, Rb3Sm3O6,N
 mp-8001, Al3Li3O6,N
 mp-804, Ga2N2,N
 mp-8145, Rb3Sc3O6,N
 mp-8175, K3Tl3O6,N
 mp-8176, Rb3Tl3O6,N
 mp-8188, K3Sc3O6,N
 mp-8409, K3Y3O6,N
 mp-8584, Er3Na3Se6,N
 mp-861937, Au4Ba8As4,N
 mp-862631, Au4Ba8Sb4,N
 mp-862947, Au4Ba8Bi4,N
 mp-865101, Bi4Li8Na4,N
 mp-865280, Al4Fe8Nb4,N
 mp-865648, Cd4Pb4Yb8,N
 mp-865681, Ru8Ti4Si4,N
 mp-865735, Li8Yb4Ge4,N
 mp-865965, Ca4Li8Si4,N
 mp-865986, Ca4Li8Ge4,N
 mp-866141, Fe8Ti4Si4,N
 mp-866154, Be4Ir8Ti4,N
 mp-867168, Au4Sr8Sb4,N
 mp-867192, Au4Sr8As4,N
 mp-8830, Na3Rh3O6,N
 mp-8880, Al2P2,N
 mp-8884, Zn2Te2,N
 mp-8936, Sn2Se2,N
 mp-9035, Lu3Na3S6,N
 mp-9036, K3Sm3Te6,N
 mp-9076, Na3Tm3S6,N
 mp-9081, Cs3Nd3S6,N
 mp-9086, Cs3Dy3S6,N
 mp-9089, Cs3Tm3S6,N
 mp-9263, Er3K3Te6,N
 mp-9361, La3Rb3S6,N
 mp-9362, Pr3Rb3S6,N
 mp-9363, Nd3Rb3S6,N
 mp-9364, Rb3Sm3S6,N
 mp-9365, Rb3Tb3S6,N
 mp-9366, Ho3Rb3S6,N
 mp-9367, Er3Rb3S6,N
 mp-9368, Rb3Tm3S6,N
 mp-9370, Lu3Rb3S6,N
 mp-953, NbZn3,N
 mp-980057, AlSrGeH,N
 mp-984, B2N2,N
 mp-984352, Al8Co4Os4,N
 mp-27922, Ge3I6,N
 mp-1000, Ba4Te4,N
 mp-10760, Mg4Se4,N
 mp-1087, Sr4S4,N
 mp-1138, Li4F4,N
 mp-11718, Rb4F4,N
 mp-1216, Yb4O4,N
 mp-1253, Ba4Se4,N
 mp-1265, Mg4O4,N
 mp-1315, Mg4S4,N
 mp-1342, Ba4O4,N
 mp-1415, Ca4Se4,N
 mp-149, Si8,N
 mp-1500, Ba4S4,N
 mp-1519, Ca4Te4,N
 mp-1672, Ca4S4,N
 mp-1700, Al4N4,N
 mp-1779, Yb4Te4,N
 mp-1784, Cs4F4,N
 mp-1820, Yb4S4,N
 mp-1958, Sr4Te4,N
 mp-19717, Pb4Te4,N
 mp-22862, Na4Cl4,N
 mp-22865, CsCl,N
 mp-22867, Rb4Br4,N
 mp-22875, TlBr,N
 mp-22898, K4I4,N
 mp-22899, Li4I4,N
 mp-22903, Rb4I4,N
 mp-22905, Li4Cl4,N
 mp-22906, CsBr,N
 mp-22916, Na4Br4,N
 mp-22922, Ag4Cl4,N
 mp-23167, TlCl,N
 mp-23193, K4Cl4,N
 mp-23231, Ag4Br4,N
 mp-23251, K4Br4,N
 mp-23259, Li4Br4,N
 mp-23268, Na4I4,N
 mp-23295, Rb4Cl4,N
 mp-23302, RbI,N
 mp-23703, Li4H4,N
 mp-23870, Na4H4,N
 mp-24084, K4H4,N
 mp-2472, Sr4O4,N
 mp-24721, Rb4H4,N
 mp-2605, Ca4O4,N
 mp-2667, AuCs,N
 mp-2758, Sr4Se4,N
 mp-286, Yb4Se4,N
 mp-463, K4F4,N
 mp-568145, Ar2,N
 mp-568560, Tl4Br4,N
 mp-569639, Tl4Cl4,N
 mp-571222, Cs4Br4,N
 mp-573697, Cs4Cl4,N
 mp-614603, Cs4I4,N
 mp-632319, CsH,N
 mp-682, Na4F4,N
 mp-23155, Ar4,N
 mp-1022, K8S4,N
 mp-1029, Ba4F8,N
 mp-1105, Ba2O4,N
 mp-11327, Rb8Se4,N
 mp-1153, Li8S4,N
 mp-1186, ZrS2,N
 mp-1266, Na8Se4,N
 mp-1394, Rb8O4,N
 mp-1434, Mo3S6,N
 mp-1569, Be8C4,N
 mp-1747, K8Te4,N
 mp-1960, Li8O4,N
 mp-20194, Ce4O8,N
 mp-2286, Li8Se4,N
 mp-22880, FeBr2,N
 mp-22881, Cd3Cl6,N
 mp-22885, F4Xe2,N
 mp-22893, PbI2,N
 mp-22965, BiITe,N
 mp-23162, Zr3Cl6,N
 mp-23205, MgI2,N
 mp-23209, Sr4Cl8,N
 mp-23210, Mg3Cl6,N
 mp-2352, Na8O4,N
 mp-241, Cd4F8,N
 mp-2530, Li8Te4,N
 mp-2741, Ca4F8,N
 mp-2784, Na8Te4,N
 mp-30009, F4Kr2,N
 mp-30031, CaI2,N
 mp-30034, MgBr2,N
 mp-315, Pb4F8,N
 mp-36582, Na3H3S3,N
 mp-38011, K3H3S3,N
 mp-567259, CdI2,N
 mp-568662, Ba4Cl8,N
 mp-568690, Cd3Br6,N
 mp-570259, MgCl2,N
 mp-570418, YbI2,N
 mp-643, Th4O8,N
 mp-648, Na8S4,N
 mp-753746, Rb6O3,N
 mp-7581, Mo3Se6,N
 mp-8041, Rb8S4,N
 mp-8177, Hg4F8,N
 mp-8426, K8Se4,N
 mp-971, K8O4,N
 mp-981, Sr4F8,N
 mp-9813, W3S6,N
 mp-985829, HfS2,N
 mp-985831, HfSe2,N
 mp-1017548, Be2CaP2,N
 mp-1029337, Zr2N2Se,N
 mp-1070483, Al2SrGe2,N
 mp-1206128, Th2N2O,N
 mp-1206998, Al2LaSi2,N
 mp-1232292, Al2MgGe2,N
 mp-7429, CaZn2Sb2,N
 mp-9571, CaZn2As2,N
 mp-7431, SrZn2Sb2,N
 mp-1017567, Hf2N2S,N
 mp-1017628, Be2MgP2,N
 mp-1018630, Be2CaAs2,N
 mp-1029532, Ca4Co2N4,N
 mp-10343, Sc4B2C4,N
 mp-1057, Al3Ni2,N
 mp-1068685, Pt2U4C4,N
 mp-1069004, Os2U4C4,N
 mp-1069160, Ru2U4C4,N
 mp-1069790, Rh2U4C4,N
 mp-1069815, In3Pt2,N
 mp-10901, Al3Pd2,N
 mp-10905, Al3Pt2,N
 mp-1097065, HfLi2N2,N
 mp-11107, Ac2O3,N
 mp-11397, Ga3Ni2,N
 mp-1206327, Ni2Th4C4,N
 mp-1207013, Rh3Si2,N
 mp-15986, Cu2HfP2,N
 mp-19167, Ni2Rb4O4,N
 mp-21385, In3Ni2,N
 mp-21400, Ga3Pt2,N
 mp-2646, Mg3Sb2,N
 mp-29208, Bi2CaMg2,N
 mp-29209, BaBi2Mg2,N
 mp-510437, In3Pd2,N
 mp-644389, Li4Pd2H4,N
 mp-6940, Ir2U4C4,N
 mp-7430, CaCd2Sb2,N
 mp-7432, Cd2SrSb2,N
 mp-754640, Ce2O2Se,N
 mp-769864, Cs4Ni2O4,N
 mp-7704, Al2CaSi2,N
